id,product_id,cpu_support,bios_update,m2_support,ssd_hard_drive_support,pclex16_slots,memory_type,memory_slots
1,2,"i9-12900K, i7-12700K, i5-12600K,","i9-13900K, i7-13700K, i5-13600K,",4,6,3,DDR4,4
2,3,"i9-13900K, i7-13700K, i5-13600K,",NULL,4,6,3,DDR5,4
3,4,NULL,NULL,NULL,NULL,NULL,DDR4,2
4,5,NULL,NULL,NULL,NULL,NULL,DDR5,2
5,22,"ryzen 9 7950x3d, ryzen 7 7800x3d, ryzen 5 7600x",NULL,4,6,3,DDR5,4
6,25,NULL,NULL,NULL,NULL,NULL,DDR4,2
7,26,NULL,NULL,NULL,NULL,NULL,DDR4,2
8,27,NULL,NULL,NULL,NULL,NULL,DDR5,2
9,30,"i9-13900K, i7-13700K, i5-13600K,",NULL,2,4,1,DDR5,2
10,31,"i9-12900K, i7-12700K, i5-12600K,","i9-13900K, i7-13700K, i5-13600K,",2,4,1,DDR4,2
11,32,"ryzen 9 7950x3d, ryzen 7 7800x3d, ryzen 5 7600x",NULL,3,4,1,DDR5,2
